"lat":1.320884,"lng":103.912932,"gym_name":"Kembangan MRT Station"
"lat":1.320384,"lng":103.904569,"gym_name":""
"lat":1.319777,"lng":103.902948,"gym_name":"Eunos MRT Station"
"lat":1.326121,"lng":103.892016,"gym_name":"Kim Hong Temple (金凤庙)"
"lat":1.325752,"lng":103.90149,"gym_name":"Altar Shrine Stand to the Heavens"
"lat":1.315642,"lng":103.881995,"gym_name":"Geylang Chinese Methodist Church"
"lat":1.324355,"lng":103.887122,"gym_name":"Dragon"
"lat":1.325389,"lng":103.88708,"gym_name":"Decorative Wall of Circuit Road"
"lat":1.326167,"lng":103.885096,"gym_name":"Circuit Road Hawker Centre"
"lat":1.325367,"lng":103.879488,"gym_name":"Ivory Lion"
"lat":1.302175,"lng":103.907365,"gym_name":"Faith Community Baptist Church"
"lat":1.300101,"lng":103.912416,"gym_name":"Area C Signboard"
"lat":1.312232,"lng":103.894072,"gym_name":"The Queen of Peace Church"
"lat":1.315739,"lng":103.896699,"gym_name":"The Muslim Converts Association"
"lat":1.3086,"lng":103.902911,"gym_name":""
"lat":1.301797,"lng":103.914458,"gym_name":""
"lat":1.304687,"lng":103.928552,"gym_name":"Jungle Trail"
"lat":1.312955,"lng":103.928107,"gym_name":"Siglap Linear Park"
"lat":1.311827,"lng":103.922775,"gym_name":"Siglap Flower Board"
"lat":1.311271,"lng":103.923738,"gym_name":"East Coast Terrace Park"
"lat":1.312555,"lng":103.92527,"gym_name":"LTN Tree Shrine"
"lat":1.327625,"lng":103.903254,"gym_name":"Harmony Park"
"lat":1.327716,"lng":103.904893,"gym_name":"Block 322 Playground"
"lat":1.328104,"lng":103.903095,"gym_name":""
"lat":1.327475,"lng":103.911146,"gym_name":"Connection of Stars"
"lat":1.326287,"lng":103.910995,"gym_name":"Windy Heights Waterfall"
"lat":1.326817,"lng":103.898015,"gym_name":"Excalibur Centre"
"lat":1.326371,"lng":103.891336,"gym_name":"Twin Golden Horses"
"lat":1.326447,"lng":103.887351,"gym_name":"Mini Playground"
"lat":1.327832,"lng":103.887328,"gym_name":"Doodle mural at Circuit Road"
"lat":1.325979,"lng":103.907226,"gym_name":""
"lat":1.324476,"lng":103.911012,"gym_name":"Umbrella Tree Marker"
"lat":1.324442,"lng":103.910344,"gym_name":"Kembangan Playground"
"lat":1.329234,"lng":103.89794,"gym_name":"Ubi Windmill"
"lat":1.329451,"lng":103.880092,"gym_name":"Aljunied Park Shelter"
"lat":1.329399,"lng":103.885167,"gym_name":"Rope Climbing Structure"
"lat":1.328332,"lng":103.876415,"gym_name":"Gleam Minions"
"lat":1.332702,"lng":103.884707,"gym_name":"Art Deco Building"
"lat":1.332179,"lng":103.882082,"gym_name":"Macpherson Linear Park"
"lat":1.332115,"lng":103.888144,"gym_name":"Giant Cross at MacPherson"
"lat":1.331542,"lng":103.888744,"gym_name":"The Tree of Life and the Tree of Knowledge"
"lat":1.31242,"lng":103.875779,"gym_name":"善福堂"
"lat":1.318651,"lng":103.874478,"gym_name":"Blue Shelter"
"lat":1.301157,"lng":103.885743,"gym_name":"Di Tanjong Katong - Our Heritage"
"lat":1.295173,"lng":103.893582,"gym_name":""
"lat":1.29503,"lng":103.893358,"gym_name":"East Coast Park Area B Sign"
"lat":1.29866,"lng":103.873469,"gym_name":"Lovers Bridge"
"lat":1.303587,"lng":103.901022,"gym_name":"Native Indian Statue"
"lat":1.325699,"lng":103.899447,"gym_name":"Playground"
"lat":1.325654,"lng":103.907116,"gym_name":"Jalan Daud Interim Park"
"lat":1.320859,"lng":103.918606,"gym_name":"Our Lady of Perpetual Succour"
"lat":1.323359,"lng":103.922134,"gym_name":"Mini Fountain"
"lat":1.315192,"lng":103.918679,"gym_name":"Shanti Stupa"
"lat":1.316501,"lng":103.922638,"gym_name":"Siglap Muslim Cemetery"
"lat":1.308211,"lng":103.885976,"gym_name":""
"lat":1.31449,"lng":103.901418,"gym_name":"Imagination with Paint"
"lat":1.319838,"lng":103.892154,"gym_name":"Lifelong Learning Institute Building"
"lat":1.318722,"lng":103.893733,"gym_name":"SingPost Centre"
"lat":1.326733,"lng":103.890025,"gym_name":"MacPherson MRT Station Exit A"
"lat":1.311448,"lng":103.879972,"gym_name":"興友社"
"lat":1.310725,"lng":103.872166,"gym_name":"Trans Island Bus Port"
